レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,1,4880,6.98,晴,西,2,1,大　村,1,澤崎雄哉,25,東京,51,A2,5.49,36.46,4.89,11.11,37.5,22.22
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,2,4402,6.93,晴,西,2,1,大　村,6,乙藤智史,35,福岡,54,A2,5.89,39.2,6.57,47.83,23.81,24.0
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,3,4175,7.02,晴,西,2,1,大　村,2,川尻泰輔,37,埼玉,55,A2,5.37,34.48,5.89,42.11,27.27,28.57
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,4,4070,6.92,晴,西,2,1,大　村,4,中村亮太,39,長崎,50,A2,6.68,48.72,7.07,60.45,34.78,35.29
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,5,3901,7.04,晴,西,2,1,大　村,5,松田憲幸,43,山口,51,A2,5.46,34.56,5.24,33.33,47.62,42.86
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,1,4715,6.97,晴,西,2,1,大　村,2,村上　遼,28,長崎,51,A2,6.45,47.92,6.36,49.43,77.78,26.67
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,2,4172,7.0,晴,西,2,1,大　村,6,森定晃史,37,岡山,51,A1,6.28,42.54,6.89,53.57,39.29,42.86
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,3,4469,6.99,晴,西,2,1,大　村,3,土山卓也,33,福井,54,A2,5.89,37.9,6.44,44.19,42.86,40.0
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,4,4416,6.98,晴,西,2,1,大　村,1,三宅健太,33,広島,53,A2,5.65,34.58,5.22,28.57,22.73,52.0
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,5,3251,6.96,晴,西,2,1,大　村,5,平石和男,54,埼玉,51,A2,6.04,36.88,6.34,46.88,55.56,22.22
2020-08-01大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,6,3612,7.0,晴,西,2,1,大　村,4,馬袋義則,47,兵庫,52,A2,6.0,44.1,7.57,56.67,30.77,29.63
