レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ1R,1,4351,6.77,晴,東,1,1,1,里岡右貴,34,福岡,53,A1,6.87,55.71,6.42,51.52,48.68,37.5
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ1R,2,4697,6.79,晴,東,1,1,3,國弘翔平,34,福岡,48,B1,4.37,25.81,4.15,20.51,41.67,44.83
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ1R,3,4693,6.73,晴,東,1,1,5,松下誉士,36,福岡,51,B1,4.14,18.18,3.43,13.51,51.56,31.76
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ1R,4,4046,6.83,晴,東,1,1,4,谷村啓司,40,福岡,52,B1,3.43,11.46,4.03,18.46,20.34,38.3
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ1R,5,5028,6.84,晴,東,1,1,2,原田才一,23,福岡,52,B1,5.23,36.19,3.67,15.15,40.0,16.85
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ1R,6,5071,6.77,晴,東,1,1,6,野見山拓,26,福岡,52,B2,1.98,3.28,1.88,0.0,46.48,34.74
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ2R,1,3576,6.75,晴,東,1,1,1,白水勝也,47,福岡,49,A2,6.63,52.38,7.12,57.69,22.22,38.14
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ2R,2,4522,6.79,晴,東,1,1,4,古澤光紀,32,福岡,53,A1,7.19,60.61,7.28,57.45,23.81,35.23
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ2R,3,3564,6.76,晴,東,1,1,3,桑原　啓,50,福岡,53,B1,4.55,22.0,4.12,23.53,14.29,39.29
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ2R,4,4674,6.8,晴,東,1,1,2,池田剛規,33,福岡,52,B1,4.76,29.35,3.92,17.65,39.13,40.23
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ2R,5,4121,6.89,晴,東,1,1,6,富永修一,38,福岡,52,B1,5.12,32.14,0.0,0.0,25.86,36.08
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ2R,6,4868,6.81,晴,東,1,1,5,松本　峻,29,福岡,52,B2,4.57,19.64,3.63,7.69,55.41,27.78
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ3R,1,4402,6.78,晴,東,3,3,1,乙藤智史,35,福岡,53,A2,5.91,38.46,6.16,43.24,37.88,17.98
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ3R,2,3876,6.77,晴,東,3,3,3,中辻崇人,43,福岡,52,A1,6.94,57.26,7.56,61.11,26.98,34.44
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ3R,3,4363,6.82,晴,東,3,3,5,大野芳顕,35,福岡,53,A1,6.33,47.73,5.55,33.77,17.02,27.27
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ3R,4,3928,6.76,晴,東,3,3,2,林　恵祐,44,福岡,59,B1,3.86,17.35,3.96,25.0,22.03,26.58
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ3R,5,4668,6.73,晴,東,3,3,4,楠本晃嗣,35,福岡,50,B1,4.36,21.43,0.0,0.0,30.77,41.3
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ3R,6,4669,6.77,晴,東,3,3,6,井上　茂,35,福岡,53,B1,4.49,20.78,5.89,42.11,26.67,23.91
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ4R,1,4544,6.69,晴,北東,4,4,1,松田大志,32,福岡,51,A1,7.76,67.39,7.03,57.55,21.05,23.33
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ4R,2,3566,6.78,晴,北東,4,4,3,川添英正,50,福岡,51,A2,4.87,28.44,5.61,33.71,33.78,23.08
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ4R,3,4789,6.72,晴,北東,4,4,4,古賀智之,31,福岡,51,B1,4.65,19.23,5.0,33.33,24.59,25.29
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ4R,4,4463,6.73,晴,北東,4,4,6,三苫晃幸,34,福岡,56,B1,5.2,36.27,4.97,30.53,41.79,44.94
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ4R,5,4180,6.78,晴,北東,4,4,2,上野秀和,37,福岡,56,B1,3.85,16.38,5.2,32.81,30.88,38.95
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ4R,6,5009,6.72,晴,北東,4,4,5,大賀龍之,23,福岡,55,B1,3.1,15.0,2.47,5.88,31.88,35.56
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ5R,1,4301,6.76,晴,北東,4,4,2,関　裕也,37,福岡,52,B1,5.93,41.35,5.27,37.14,50.0,36.36
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ5R,2,3297,6.71,晴,北東,4,4,6,藤丸光一,53,福岡,49,A2,5.82,42.34,6.22,45.68,38.57,26.14
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ5R,3,4551,6.78,晴,北東,4,4,3,三川昂暁,31,福岡,53,A1,5.7,39.05,5.69,36.26,18.33,40.63
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ5R,4,5071,6.74,晴,北東,4,4,4,野見山拓,26,福岡,52,B2,1.98,3.28,1.88,0.0,46.48,34.74
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ5R,5,3804,6.76,晴,北東,4,4,5,中渡修作,46,福岡,51,B1,5.17,30.48,5.62,33.33,57.33,36.78
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ5R,6,4336,6.78,晴,北東,4,4,1,松田竜馬,36,福岡,54,A2,5.48,38.13,6.0,41.27,27.12,39.29
