,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
339,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走9R,5,3615,6.82,4,横田　茂,47,広島,50,A2,5.31,34.02,6.56,50.0,33.33,23.38
340,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走9R,6,4899,6.88,6,占部一真,28,福岡,51,B1,4.38,20.62,2.78,11.11,41.03,31.33
341,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走10R,1,4136,6.84,1,江夏　満,40,福岡,54,A1,7.34,54.96,8.78,88.89,32.14,41.18
342,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走10R,2,3828,6.89,2,明石正之,46,兵庫,51,A1,5.81,42.34,6.28,51.28,28.92,23.17
343,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走10R,3,4325,6.84,4,新出浩司,37,大阪,52,A2,5.67,39.32,5.2,30.0,17.72,27.06
344,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走10R,4,3577,6.84,3,向所浩二,47,兵庫,55,A2,5.67,38.26,6.45,45.0,34.04,29.67
345,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走10R,5,3643,6.91,5,米田隆弘,48,岡山,54,B1,5.1,26.19,5.03,28.57,36.59,47.73
346,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走10R,6,4343,6.86,6,村岡　賢,35,広島,54,B1,4.46,19.15,3.75,12.28,30.34,30.26
347,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走11R,1,3582,6.69,1,吉川昭男,47,滋賀,52,A1,6.04,41.75,5.82,35.71,42.67,25.93
348,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走11R,2,4472,6.86,4,尾嶋一広,33,兵庫,55,A1,6.4,43.06,5.67,33.33,32.22,43.33
349,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走11R,3,4195,6.89,2,前川守嗣,38,福岡,57,A2,5.54,38.1,3.75,12.5,20.73,26.32
350,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走11R,4,4520,6.83,3,高倉孝太,33,福井,49,B1,5.49,37.04,4.95,26.32,29.89,42.68
351,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走11R,5,3024,6.98,5,西島義則,58,広島,56,A1,7.63,63.41,7.15,63.04,27.27,31.11
352,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走11R,6,3930,6.9,6,岸本　隆,44,岡山,56,A2,5.61,39.67,5.28,37.5,27.37,24.39
353,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走12R,1,4391,6.85,1,松田祐季,34,福井,53,A1,7.1,51.75,6.71,53.66,36.26,28.21
354,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走12R,2,3918,6.85,4,深井利寿,46,滋賀,52,A1,6.52,48.84,5.04,28.57,19.75,38.82
355,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走12R,3,4424,6.82,2,松尾昂明,35,福岡,52,A2,6.17,48.23,5.95,33.33,40.0,37.08
356,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走12R,4,4099,6.93,6,吉永則雄,41,大阪,53,A2,6.64,46.99,6.62,46.15,23.75,45.26
357,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走12R,5,4543,6.83,3,重木輝彦,32,兵庫,48,A2,6.36,41.3,6.56,55.56,22.54,38.89
358,2020-08-23鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走12R,6,3843,6.82,5,上之晃弘,44,長崎,52,B1,4.28,26.67,5.68,40.91,30.85,25.0
359,2020-08-23尼　崎オールレディース競走1R,1,3845,6.69,3,中谷朋子,43,兵庫,45,A1,5.76,32.26,8.87,80.0,31.17,19.72
360,2020-08-23尼　崎オールレディース競走1R,2,5094,6.78,2,生田波美,17,東京,49,B1,3.0,7.14,4.9,30.0,38.67,35.29
361,2020-08-23尼　崎オールレディース競走1R,3,4927,6.81,6,関野　文,26,大阪,43,B1,5.39,30.12,5.82,36.36,31.58,36.23
362,2020-08-23尼　崎オールレディース競走1R,4,4841,6.83,1,高橋悠花,28,岡山,48,B2,4.09,22.73,0.0,0.0,46.34,38.36
363,2020-08-23尼　崎オールレディース競走1R,5,5113,6.76,4,黒明花夢,20,岡山,52,B2,1.17,0.0,1.0,0.0,31.65,43.28
364,2020-08-23尼　崎オールレディース競走1R,6,4246,6.72,5,喜多那由,38,静岡,50,B1,3.89,14.12,3.72,8.0,37.35,28.99
365,2020-08-23尼　崎オールレディース競走2R,1,3801,6.74,2,五反田忍,46,大阪,50,A2,6.1,43.93,5.96,42.22,34.62,32.39
366,2020-08-23尼　崎オールレディース競走2R,2,3207,6.65,1,田村美和,54,東京,54,B1,4.48,18.31,2.86,7.14,44.0,39.44
367,2020-08-23尼　崎オールレディース競走2R,3,4011,6.79,5,堀之内紀,40,岡山,45,A1,6.1,45.54,6.43,50.0,28.57,31.88
368,2020-08-23尼　崎オールレディース競走2R,4,4878,6.64,6,西岡育未,25,徳島,45,B1,3.62,9.43,0.0,0.0,47.37,32.26
369,2020-08-23尼　崎オールレディース競走2R,5,4901,6.8,3,出口舞有,27,愛知,46,A2,6.0,40.41,4.69,25.0,21.43,30.56
370,2020-08-23尼　崎オールレディース競走2R,6,3355,6.73,4,橋谷田佳,52,東京,43,B1,4.22,23.38,3.63,6.25,32.43,31.43
371,2020-08-23尼　崎オールレディース競走3R,1,4014,6.68,1,片岡恵里,40,山口,49,B1,4.57,25.56,2.6,20.0,38.75,35.21
372,2020-08-23尼　崎オールレディース競走3R,2,4589,6.72,3,塩崎桐加,28,三重,49,A2,6.04,42.98,6.28,44.83,38.46,29.85
373,2020-08-23尼　崎オールレディース競走3R,3,3528,6.72,6,笠野友紀,49,愛知,48,B1,3.9,22.62,4.71,25.0,33.75,16.98
374,2020-08-23尼　崎オールレディース競走3R,4,4804,6.74,4,高田ひか,26,三重,48,A2,6.09,47.87,4.76,24.0,39.47,27.27
375,2020-08-23尼　崎オールレディース競走3R,5,3932,6.75,5,池田浩美,44,静岡,48,A2,6.69,55.86,5.72,44.44,33.33,23.53
376,2020-08-23尼　崎オールレディース競走4R,1,4317,6.75,1,木村紗友,36,静岡,47,B1,4.0,19.72,3.9,20.0,36.49,41.43
377,2020-08-23尼　崎オールレディース競走4R,2,4773,6.77,6,中川りな,27,福岡,47,B1,5.78,35.0,3.81,0.0,18.92,40.85
378,2020-08-23尼　崎オールレディース競走4R,3,3302,6.74,2,谷川里江,53,愛知,45,A2,5.69,39.67,0.0,0.0,36.71,36.62
379,2020-08-23尼　崎オールレディース競走4R,4,4300,6.66,4,加藤　綾,37,三重,49,B1,3.79,14.29,4.15,14.81,25.97,14.67
380,2020-08-23尼　崎オールレディース競走4R,5,4225,6.67,5,土屋千明,38,群馬,46,A1,6.28,48.1,6.88,50.0,36.49,52.17
381,2020-08-23尼　崎オールレディース競走5R,1,4372,6.84,2,原田佑実,33,大阪,45,A2,5.19,29.52,5.77,40.91,40.24,20.31
382,2020-08-23尼　崎オールレディース競走5R,2,4017,6.62,3,向井美鈴,40,山口,45,A2,5.78,37.0,6.15,38.46,38.1,37.68
383,2020-08-23尼　崎オールレディース競走5R,3,4399,6.69,5,松本晶恵,33,群馬,46,A1,7.06,56.48,5.9,35.0,36.84,35.71
384,2020-08-23尼　崎オールレディース競走5R,4,3704,6.72,1,本部めぐ,46,三重,47,B1,4.13,17.53,5.5,40.0,56.0,34.33
385,2020-08-23尼　崎オールレディース競走5R,5,2983,6.64,4,鵜飼菜穂,60,愛知,45,B2,2.26,7.02,3.71,14.29,34.21,38.57
386,2020-08-23尼　崎オールレディース競走5R,6,5113,6.79,6,黒明花夢,20,岡山,52,B2,1.17,0.0,1.0,0.0,31.65,43.28
387,2020-08-23尼　崎オールレディース競走6R,1,4447,6.72,1,深川麻奈,33,福岡,49,A1,6.32,45.97,5.62,37.84,53.85,39.73
388,2020-08-23尼　崎オールレディース競走6R,2,4730,6.75,4,土屋実沙,31,静岡,46,A2,5.55,33.78,4.0,10.0,32.0,26.09
389,2020-08-23尼　崎オールレディース競走6R,3,3580,6.63,6,水口由紀,47,滋賀,48,B1,4.67,24.3,3.44,11.11,35.53,43.48
390,2020-08-23尼　崎オールレディース競走6R,4,5094,6.71,5,生田波美,17,東京,49,B1,3.0,7.14,4.9,30.0,38.67,35.29
391,2020-08-23尼　崎オールレディース競走6R,5,3802,6.8,2,森岡真希,46,岡山,46,B1,4.72,26.23,4.88,27.27,25.33,32.88
392,2020-08-23尼　崎オールレディース競走7R,1,4501,6.72,3,樋口由加,32,岡山,45,A2,5.8,41.79,5.84,44.44,50.0,45.71
393,2020-08-23尼　崎オールレディース競走7R,2,3999,6.77,1,大瀧明日,41,愛知,44,A1,6.96,52.45,5.8,40.0,36.99,37.68
394,2020-08-23尼　崎オールレディース競走7R,3,3604,6.72,6,武藤綾子,49,福岡,48,B1,4.89,20.43,4.64,31.82,47.37,37.5
395,2020-08-23尼　崎オールレディース競走7R,4,4240,6.74,4,今井裕梨,36,群馬,44,B1,5.08,34.07,4.87,26.32,35.8,34.29
396,2020-08-23尼　崎オールレディース競走7R,5,4243,6.79,2,西村　歩,34,大阪,47,B1,4.71,29.17,5.09,36.36,49.35,33.82
397,2020-08-23尼　崎オールレディース競走7R,6,3207,6.83,5,田村美和,54,東京,54,B1,4.48,18.31,2.86,7.14,44.0,39.44
398,2020-08-23尼　崎オールレディース競走8R,1,4611,6.76,5,今井美亜,30,福井,48,A2,5.65,36.49,5.59,41.18,53.33,40.91
399,2020-08-23尼　崎オールレディース競走8R,2,3280,6.68,4,垣内清美,53,三重,52,B1,5.24,41.03,5.28,38.89,28.05,39.47
400,2020-08-23尼　崎オールレディース競走8R,3,4804,6.64,2,高田ひか,26,三重,48,A2,6.09,47.87,4.76,24.0,39.47,27.27
401,2020-08-23尼　崎オールレディース競走8R,4,4225,6.72,1,土屋千明,38,群馬,46,A1,6.28,48.1,6.88,50.0,36.49,52.17
402,2020-08-23尼　崎オールレディース競走8R,5,3801,6.72,6,五反田忍,46,大阪,50,A2,6.1,43.93,5.96,42.22,34.62,32.39
403,2020-08-23尼　崎オールレディース競走9R,1,4244,6.78,1,鈴木成美,33,静岡,45,B1,4.2,22.67,4.52,30.43,33.33,35.94
404,2020-08-23尼　崎オールレディース競走9R,2,4841,6.77,2,高橋悠花,28,岡山,48,B2,4.09,22.73,0.0,0.0,46.34,38.36
405,2020-08-23尼　崎オールレディース競走9R,3,4781,6.75,6,西舘果里,33,東京,50,B2,4.29,17.07,5.7,50.0,29.17,28.36
406,2020-08-23尼　崎オールレディース競走9R,4,3528,6.64,4,笠野友紀,49,愛知,48,B1,3.9,22.62,4.71,25.0,33.75,16.98
407,2020-08-23尼　崎オールレディース競走9R,5,3355,6.77,3,橋谷田佳,52,東京,43,B1,4.22,23.38,3.63,6.25,32.43,31.43
408,2020-08-23尼　崎オールレディース競走9R,6,3943,6.86,5,三松直美,41,岡山,63,B1,4.32,16.92,0.0,0.0,38.46,38.81
409,2020-08-23尼　崎オールレディース競走10R,1,4399,6.74,1,松本晶恵,33,群馬,46,A1,7.06,56.48,5.9,35.0,36.84,35.71
410,2020-08-23尼　崎オールレディース競走10R,2,4433,6.76,2,川野芽唯,34,福岡,46,A2,6.3,43.18,7.44,66.67,29.58,26.15
411,2020-08-23尼　崎オールレディース競走10R,3,3674,6.8,3,岸　恵子,47,徳島,48,B1,5.48,41.18,7.05,65.0,25.0,23.53
412,2020-08-23尼　崎オールレディース競走10R,4,3579,6.82,4,中里優子,47,埼玉,48,A2,5.47,35.29,5.63,42.11,28.38,17.91
413,2020-08-23尼　崎オールレディース競走10R,5,4447,6.66,6,深川麻奈,33,福岡,49,A1,6.32,45.97,5.62,37.84,53.85,39.73
414,2020-08-23尼　崎オールレディース競走10R,6,4901,6.74,5,出口舞有,27,愛知,46,A2,6.0,40.41,4.69,25.0,21.43,30.56
415,2020-08-23尼　崎オールレディース競走11R,1,3845,6.78,1,中谷朋子,43,兵庫,45,A1,5.76,32.26,8.87,80.0,31.17,19.72
416,2020-08-23尼　崎オールレディース競走11R,2,4372,6.74,4,原田佑実,33,大阪,45,A2,5.19,29.52,5.77,40.91,40.24,20.31
417,2020-08-23尼　崎オールレディース競走11R,3,4730,6.71,3,土屋実沙,31,静岡,46,A2,5.55,33.78,4.0,10.0,32.0,26.09
418,2020-08-23尼　崎オールレディース競走11R,4,4589,6.7,2,塩崎桐加,28,三重,49,A2,6.04,42.98,6.28,44.83,38.46,29.85
419,2020-08-23尼　崎オールレディース競走11R,5,4501,6.73,5,樋口由加,32,岡山,45,A2,5.8,41.79,5.84,44.44,50.0,45.71
420,2020-08-23尼　崎オールレディース競走11R,6,4300,6.69,6,加藤　綾,37,三重,49,B1,3.79,14.29,4.15,14.81,25.97,14.67
421,2020-08-23尼　崎オールレディース競走12R,1,3999,6.71,4,大瀧明日,41,愛知,44,A1,6.96,52.45,5.8,40.0,36.99,37.68
422,2020-08-23尼　崎オールレディース競走12R,2,3932,6.72,2,池田浩美,44,静岡,48,A2,6.69,55.86,5.72,44.44,33.33,23.53
423,2020-08-23尼　崎オールレディース競走12R,3,4017,6.77,5,向井美鈴,40,山口,45,A2,5.78,37.0,6.15,38.46,38.1,37.68
424,2020-08-23尼　崎オールレディース競走12R,4,4611,6.81,3,今井美亜,30,福井,48,A2,5.65,36.49,5.59,41.18,53.33,40.91
425,2020-08-23尼　崎オールレディース競走12R,5,3302,6.68,6,谷川里江,53,愛知,45,A2,5.69,39.67,0.0,0.0,36.71,36.62
426,2020-08-23尼　崎オールレディース競走12R,6,4011,6.77,1,堀之内紀,40,岡山,45,A1,6.1,45.54,6.43,50.0,28.57,31.88
427,2020-08-23住之江第２４回ブルースターカップ1R,1,4952,6.83,1,吉武真也,26,福岡,52,B1,2.75,7.81,3.86,28.57,45.35,36.14
428,2020-08-23住之江第２４回ブルースターカップ1R,2,3989,6.94,2,熊本英一,42,佐賀,57,B1,4.69,27.37,3.9,23.33,29.55,37.08
429,2020-08-23住之江第２４回ブルースターカップ1R,3,2878,6.95,3,富山弘幸,62,大阪,57,A2,5.72,33.62,6.57,51.72,42.55,45.35
430,2020-08-23住之江第２４回ブルースターカップ1R,4,4429,6.93,6,豊田泰洋,34,広島,60,B1,4.27,25.3,0.0,0.0,38.3,43.37
431,2020-08-23住之江第２４回ブルースターカップ1R,5,3283,6.94,5,窪田好弘,53,福井,53,B1,4.14,17.86,4.12,17.65,26.19,42.27
432,2020-08-23住之江第２４回ブルースターカップ1R,6,5111,7.0,4,三村岳人,20,岡山,52,B2,1.77,2.53,0.0,0.0,34.41,30.12
433,2020-08-23住之江第２４回ブルースターカップ2R,1,4004,6.92,1,山本浩輔,42,長崎,52,B1,4.3,23.76,0.0,0.0,26.37,32.29
434,2020-08-23住之江第２４回ブルースターカップ2R,2,4474,7.0,4,渡辺　崇,32,福岡,56,A2,5.39,35.65,4.9,23.33,30.23,27.85
435,2020-08-23住之江第２４回ブルースターカップ2R,3,3153,6.87,2,前川竜次,56,佐賀,51,B1,4.39,22.02,4.11,11.11,19.28,44.58
436,2020-08-23住之江第２４回ブルースターカップ2R,4,3456,6.95,3,松下　潤,49,徳島,53,B1,4.1,18.33,4.17,25.0,28.74,35.42
437,2020-08-23住之江第２４回ブルースターカップ2R,5,3370,6.94,6,坪内　実,53,大阪,55,B1,4.18,20.65,4.24,24.39,34.09,36.26
438,2020-08-23住之江第２４回ブルースターカップ2R,6,4800,6.94,5,小寺拳人,27,福井,56,B1,4.24,17.74,3.14,0.0,29.21,30.59
439,2020-08-23住之江第２４回ブルースターカップ3R,1,3742,6.96,1,宮地秀祈,46,福岡,52,B1,5.28,30.43,6.86,42.86,31.18,36.71
440,2020-08-23住之江第２４回ブルースターカップ3R,2,3519,7.01,2,冨田秀幸,52,愛知,51,B1,4.79,25.83,5.0,20.0,51.16,31.25
441,2020-08-23住之江第２４回ブルースターカップ3R,3,3870,6.97,3,寺嶋　雄,44,福井,51,B1,4.57,24.32,4.23,11.54,28.41,33.7
442,2020-08-23住之江第２４回ブルースターカップ3R,4,4925,6.99,5,森　悠稀,27,兵庫,52,B1,5.13,33.88,4.32,28.0,38.46,40.22
443,2020-08-23住之江第２４回ブルースターカップ3R,5,4441,6.99,6,末永由楽,33,岡山,51,A1,5.9,39.42,5.75,42.86,36.26,29.11
444,2020-08-23住之江第２４回ブルースターカップ3R,6,4639,6.9,4,雑賀勇貴,29,大阪,52,B1,4.39,21.69,5.2,30.77,44.19,32.58
445,2020-08-23住之江第２４回ブルースターカップ4R,1,4971,6.89,1,秦　直也,28,岡山,57,B2,2.09,4.62,2.18,4.55,28.4,40.86
446,2020-08-23住之江第２４回ブルースターカップ4R,2,4910,6.9,2,中村泰平,24,愛知,51,A1,6.1,44.35,6.67,50.0,45.24,41.11
447,2020-08-23住之江第２４回ブルースターカップ4R,3,5024,7.05,5,古場健也,25,福井,52,B1,2.15,5.68,1.4,0.0,35.87,32.18
448,2020-08-23住之江第２４回ブルースターカップ4R,4,4453,7.01,6,永田郁弥,32,愛知,52,B1,4.2,25.66,3.82,20.59,38.82,35.38
449,2020-08-23住之江第２４回ブルースターカップ4R,5,3333,6.96,3,丸尾義孝,52,徳島,52,A1,6.43,45.52,5.93,36.67,37.36,41.94
450,2020-08-23住之江第２４回ブルースターカップ4R,6,4588,7.03,4,田中京介,29,福岡,57,B1,4.77,30.63,4.6,30.0,41.3,32.47
451,2020-08-23住之江第２４回ブルースターカップ5R,1,4466,6.89,1,南　佑典,34,三重,51,A1,6.57,46.23,4.67,33.33,62.5,39.02
452,2020-08-23住之江第２４回ブルースターカップ5R,2,4171,6.96,6,榎　幸司,37,長崎,53,A2,6.6,50.72,6.0,40.0,32.26,31.96
453,2020-08-23住之江第２４回ブルースターカップ5R,3,4919,6.93,4,吉田翔悟,29,長崎,52,B1,4.4,26.09,3.71,11.76,47.87,28.74
454,2020-08-23住之江第２４回ブルースターカップ5R,4,4232,6.95,3,笠　雅雄,37,福岡,60,B1,3.44,12.35,3.0,18.75,36.9,28.38
455,2020-08-23住之江第２４回ブルースターカップ5R,5,4652,6.95,2,酒見峻介,35,佐賀,50,B1,4.41,17.97,4.93,29.63,41.18,36.49
456,2020-08-23住之江第２４回ブルースターカップ5R,6,4672,6.95,5,守屋大地,34,岡山,50,B2,4.13,18.03,4.56,27.78,28.26,46.07
457,2020-08-23住之江第２４回ブルースターカップ6R,1,3664,6.96,1,鈴木賢一,50,埼玉,59,A2,5.95,47.45,4.53,26.67,40.66,39.77
458,2020-08-23住之江第２４回ブルースターカップ6R,2,4411,6.89,2,沢田昭宏,34,大阪,54,A2,5.03,26.67,5.79,36.46,45.65,36.0
459,2020-08-23住之江第２４回ブルースターカップ6R,3,4446,6.93,5,和田兼輔,33,兵庫,51,A1,6.3,44.7,6.33,42.62,34.44,40.0
460,2020-08-23住之江第２４回ブルースターカップ6R,4,4640,6.87,3,山ノ内雅,29,福岡,55,A2,5.13,34.91,3.33,33.33,29.07,35.56
461,2020-08-23住之江第２４回ブルースターカップ6R,5,3989,7.0,4,熊本英一,42,佐賀,57,B1,4.69,27.37,3.9,23.33,29.55,37.08
462,2020-08-23住之江第２４回ブルースターカップ6R,6,3812,6.93,6,山崎聖司,44,東京,52,B1,4.14,21.26,5.11,22.22,28.24,36.71
463,2020-08-23住之江第２４回ブルースターカップ7R,1,4451,6.9,4,松崎祐太,32,福岡,51,A1,6.69,48.44,0.0,0.0,41.57,36.73
464,2020-08-23住之江第２４回ブルースターカップ7R,2,4547,6.9,3,中田竜太,32,埼玉,51,A1,6.77,51.0,6.53,33.33,32.95,45.74
465,2020-08-23住之江第２４回ブルースターカップ7R,3,4797,6.9,2,中山　将,28,三重,54,B1,5.23,35.44,5.22,44.44,37.93,31.91
466,2020-08-23住之江第２４回ブルースターカップ7R,4,3370,6.89,5,坪内　実,53,大阪,55,B1,4.18,20.65,4.24,24.39,34.09,36.26
467,2020-08-23住之江第２４回ブルースターカップ7R,5,5111,6.95,6,三村岳人,20,岡山,52,B2,1.77,2.53,0.0,0.0,34.41,30.12
468,2020-08-23住之江第２４回ブルースターカップ7R,6,3870,6.92,1,寺嶋　雄,44,福井,51,B1,4.57,24.32,4.23,11.54,28.41,33.7
469,2020-08-23住之江第２４回ブルースターカップ8R,1,3519,6.89,1,冨田秀幸,52,愛知,51,B1,4.79,25.83,5.0,20.0,51.16,31.25
470,2020-08-23住之江第２４回ブルースターカップ8R,2,4700,6.92,5,金子和之,33,埼玉,52,A2,5.66,39.18,3.22,0.0,26.67,28.92
471,2020-08-23住之江第２４回ブルースターカップ8R,3,3898,6.84,6,平田忠則,43,福岡,54,A1,5.76,39.6,6.9,43.75,44.83,33.33
472,2020-08-23住之江第２４回ブルースターカップ8R,4,4429,6.96,4,豊田泰洋,34,広島,60,B1,4.27,25.3,0.0,0.0,38.3,43.37
473,2020-08-23住之江第２４回ブルースターカップ8R,5,4004,6.91,2,山本浩輔,42,長崎,52,B1,4.3,23.76,0.0,0.0,26.37,32.29
474,2020-08-23住之江第２４回ブルースターカップ8R,6,4971,6.93,3,秦　直也,28,岡山,57,B2,2.09,4.62,2.18,4.55,28.4,40.86
475,2020-08-23住之江第２４回ブルースターカップ9R,1,3054,6.78,1,北川幸典,57,広島,58,A2,5.95,47.47,4.45,18.18,39.08,37.89
476,2020-08-23住之江第２４回ブルースターカップ9R,2,4672,6.91,3,守屋大地,34,岡山,50,B2,4.13,18.03,4.56,27.78,28.26,46.07
477,2020-08-23住之江第２４回ブルースターカップ9R,3,3988,6.87,2,古川誠之,42,愛知,56,A2,6.04,40.87,6.62,40.54,34.52,32.93
478,2020-08-23住之江第２４回ブルースターカップ9R,4,3283,6.99,6,窪田好弘,53,福井,53,B1,4.14,17.86,4.12,17.65,26.19,42.27
479,2020-08-23住之江第２４回ブルースターカップ9R,5,3742,7.0,5,宮地秀祈,46,福岡,52,B1,5.28,30.43,6.86,42.86,31.18,36.71
480,2020-08-23住之江第２４回ブルースターカップ9R,6,3333,6.88,4,丸尾義孝,52,徳島,52,A1,6.43,45.52,5.93,36.67,37.36,41.94
481,2020-08-23住之江第２４回ブルースターカップ10R,1,4640,6.84,1,山ノ内雅,29,福岡,55,A2,5.13,34.91,3.33,33.33,29.07,35.56
482,2020-08-23住之江第２４回ブルースターカップ10R,2,4466,6.86,5,南　佑典,34,三重,51,A1,6.57,46.23,4.67,33.33,62.5,39.02
483,2020-08-23住之江第２４回ブルースターカップ10R,3,2878,6.92,4,富山弘幸,62,大阪,57,A2,5.72,33.62,6.57,51.72,42.55,45.35
484,2020-08-23住之江第２４回ブルースターカップ10R,4,4639,6.86,3,雑賀勇貴,29,大阪,52,B1,4.39,21.69,5.2,30.77,44.19,32.58
485,2020-08-23住之江第２４回ブルースターカップ10R,5,3347,6.9,2,矢後　剛,53,東京,55,A1,5.8,34.82,5.87,36.17,33.71,34.34
486,2020-08-23住之江第２４回ブルースターカップ10R,6,4552,6.82,6,杉山勝匡,31,佐賀,50,B1,4.19,23.15,4.17,33.33,32.56,30.23
487,2020-08-23住之江第２４回ブルースターカップ11R,1,3439,6.89,3,大平誉史,51,大阪,52,A2,5.93,39.05,6.28,42.86,38.89,35.05
488,2020-08-23住之江第２４回ブルースターカップ11R,2,4232,6.97,4,笠　雅雄,37,福岡,60,B1,3.44,12.35,3.0,18.75,36.9,28.38
489,2020-08-23住之江第２４回ブルースターカップ11R,3,3687,6.91,5,花田和明,50,愛知,52,A2,5.37,32.26,5.96,39.29,31.76,38.71
490,2020-08-23住之江第２４回ブルースターカップ11R,4,4451,6.83,1,松崎祐太,32,福岡,51,A1,6.69,48.44,0.0,0.0,41.57,36.73
491,2020-08-23住之江第２４回ブルースターカップ11R,5,4762,6.83,6,藤原啓史,30,岡山,50,A1,7.08,53.21,6.04,51.85,54.65,34.09
492,2020-08-23住之江第２４回ブルースターカップ11R,6,3664,6.86,2,鈴木賢一,50,埼玉,59,A2,5.95,47.45,4.53,26.67,40.66,39.77
493,2020-08-23住之江第２４回ブルースターカップ12R,1,4446,6.84,1,和田兼輔,33,兵庫,51,A1,6.3,44.7,6.33,42.62,34.44,40.0
494,2020-08-23住之江第２４回ブルースターカップ12R,2,4441,6.86,5,末永由楽,33,岡山,51,A1,5.9,39.42,5.75,42.86,36.26,29.11
495,2020-08-23住之江第２４回ブルースターカップ12R,3,4700,6.9,4,金子和之,33,埼玉,52,A2,5.66,39.18,3.22,0.0,26.67,28.92
496,2020-08-23住之江第２４回ブルースターカップ12R,4,4919,6.84,6,吉田翔悟,29,長崎,52,B1,4.4,26.09,3.71,11.76,47.87,28.74
497,2020-08-23住之江第２４回ブルースターカップ12R,5,4474,6.86,2,渡辺　崇,32,福岡,56,A2,5.39,35.65,4.9,23.33,30.23,27.85
498,2020-08-23住之江第２４回ブルースターカップ12R,6,4910,6.89,3,中村泰平,24,愛知,51,A1,6.1,44.35,6.67,50.0,45.24,41.11
499,2020-08-23　津　日本モーターボート選手会会長賞1R,1,4754,6.79,1,松尾　充,31,三重,50,A1,6.53,50.77,6.31,43.56,39.82,29.57
500,2020-08-23　津　日本モーターボート選手会会長賞1R,2,4062,6.72,3,後藤陽介,41,愛知,56,B1,5.33,38.46,4.74,27.91,34.47,40.0
501,2020-08-23　津　日本モーターボート選手会会長賞1R,3,4462,6.75,2,夏山亮平,34,大阪,52,B1,5.05,33.78,6.5,50.0,37.28,32.35
502,2020-08-23　津　日本モーターボート選手会会長賞1R,4,3533,6.78,4,佐川正道,48,埼玉,50,B1,5.13,32.14,5.58,36.84,36.56,36.84
503,2020-08-23　津　日本モーターボート選手会会長賞1R,5,3642,6.87,6,大塚浩二,49,静岡,51,B1,3.74,11.54,3.0,0.0,36.15,41.18
504,2020-08-23　津　日本モーターボート選手会会長賞1R,6,5103,6.79,5,芝田京介,22,埼玉,51,B2,2.07,1.67,0.0,0.0,32.91,34.76
505,2020-08-23　津　日本モーターボート選手会会長賞2R,1,3842,6.84,1,星野太郎,44,三重,52,B1,4.28,24.0,5.76,38.68,33.33,38.25
506,2020-08-23　津　日本モーターボート選手会会長賞2R,2,4110,6.77,2,小澤和也,40,埼玉,56,B1,4.75,29.81,5.71,52.94,50.68,36.16
507,2020-08-23　津　日本モーターボート選手会会長賞2R,3,3377,6.75,4,塚田修二,52,東京,55,B1,4.22,23.71,3.05,0.0,26.73,36.41
508,2020-08-23　津　日本モーターボート選手会会長賞2R,4,3220,6.77,3,二橋　学,56,静岡,49,B1,4.92,25.0,5.54,35.9,28.84,33.17
509,2020-08-23　津　日本モーターボート選手会会長賞2R,5,3891,6.79,6,谷口健一,44,福井,55,B1,3.65,14.29,3.47,10.0,40.64,28.0
510,2020-08-23　津　日本モーターボート選手会会長賞2R,6,5132,6.79,5,中野希一,21,埼玉,53,B2,2.15,2.94,0.0,0.0,28.16,31.03
511,2020-08-23　津　日本モーターボート選手会会長賞3R,1,4109,6.78,4,谷津幸宏,40,埼玉,54,A2,5.6,40.91,6.45,54.84,42.34,34.18
512,2020-08-23　津　日本モーターボート選手会会長賞3R,2,3852,6.73,6,澤　大介,47,三重,53,A2,4.95,23.08,4.98,22.83,28.7,37.0
